state_code,latitude,longitude,zip_code,id,city,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds_x,funding_total_usd,milestones,state_code.1,is_ca,is_ny,is_ma,is_tx,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_vc,has_angel,has_rounda,has_roundb,has_roundc,has_roundd,avg_participants,is_top500,status,funding_per_milestone,success_label
0,1970,-71.05682,92101,c:6669,San Diego,Bandsintown,1,2007,0,2009,2010,2.2493,3.0027,4.6685,6.7041,1970,3,375000,3,0,1,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,1970,c:6669,0,1,0,0,0,0,1.0,0,0,93750.0,0
0,1970,-121.973718,95032,c:16283,Los Gatos,TriCipher,1,2000,0,2005,2009,5.126,9.9973,7.0055,7.0055,1970,4,40100000,1,0,1,0,0,0,1970,0,0,0,0,1,0,0,0,0,0,1970,c:16283,1,0,0,1,1,1,4.75,1,0,20050000.0,0
0,1970,-117.192656,92121,c:65620,San Diego,Plixi,1,2009,0,2010,2010,1.0329,1.0329,1.4575,2.2055,1970,1,2600000,2,0,1,0,0,0,1970,0,0,1,0,0,0,0,0,0,0,1970,c:65620,0,0,1,0,0,0,4.0,1,0,866666.6666666666,0
0,1970,-122.05004,95014,c:42668,Cupertino,Solidcore Systems,1,2002,0,2005,2007,3.1315,5.3151,6.0027,6.0027,1970,3,40000000,1,0,1,0,0,0,1970,0,1,0,0,0,0,0,0,0,0,1970,c:42668,0,0,0,1,1,1,3.3333,1,0,20000000.0,0
0,1970,-122.419236,94105,c:65806,San Francisco,Inhale Digital,0,2010,2012,2010,2012,0.0,1.6685,0.0384,0.0384,1970,2,1300000,1,0,1,0,0,0,1970,0,0,0,0,0,0,1,0,0,0,1970,c:65806,1,1,0,0,0,0,1.0,1,0,650000.0,0
0,1970,-122.09037,94043,c:22898,Mountain View,Matisse Networks,0,2002,2009,2006,2006,4.5452,4.5452,5.0027,5.0027,1970,1,7500000,1,0,1,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,1970,c:22898,0,0,0,1,0,0,3.0,1,0,3750000.0,0
0,1970,-122.0702643,94041,c:16191,Mountain View,RingCube Technologies,1,2005,0,2006,2010,1.7205,5.211,3.0,6.6082,1970,3,26000000,2,0,1,0,0,0,1970,0,1,0,0,0,0,0,0,0,0,1970,c:16191,1,0,1,1,0,0,1.6667,1,0,8666666.666666666,0
0,1970,-122.513742,94901,c:5192,San Rafael,ClairMail,1,2004,0,2005,2010,1.6466,6.7616,5.6055,7.3616,1970,3,34100000,3,0,1,0,0,0,1970,0,0,0,0,0,0,0,0,0,0,1970,c:5192,0,0,1,1,0,1,3.5,1,0,8525000.0,0
0,1970,-73.203599,1267,c:1043,Williamstown,VoodooVox,1,2002,0,2005,2013,3.5863,11.1123,8.0055,9.9945,1970,3,9650000,4,0,0,0,1,0,1970,0,0,0,1,0,0,0,0,0,0,1970,c:1043,1,0,1,0,0,1,4.0,1,0,1930000.0,0
0,1970,-122.145783,94306,c:498,Palo Alto,Doostang,1,2005,0,2007,2010,1.6712,4.6849,2.9178,6.1151,1970,3,5750000,4,0,1,0,0,0,1970,0,0,1,0,0,0,0,0,0,0,1970,c:498,1,1,1,0,0,0,1.0,1,0,1150000.0,0
